Estacion_Parada
(02000) Portal Norte - Unicervantes
(02001) Centro Comercial Santa Fe
(02101) Toberin
(02102) Calle 161
(02103) Mazurén
(02104) Calle 146
(02105) Calle 142
(02200) Alcalá – Colegio S. Tomás Dominicos
(02201) Prado
(02202) Calle 127 - L Oreal Paris
(02204) Pepe Sierra
(02205) Calle 106 - Explora Maletas
(02300) Calle 100 - Marketmedios
(02302) Virrey
(02303) Calle 85 - GATO DUMAS
(02304) Heroes - Gel hada
(02305) Bicicletero Portal Norte
(02502) Terminal
(03000) Portal Suba
(03001) LA CAMPIÑA
(03002) SUBA - TV- 91
(03003) 21 ANGELES
(03004) GRATAMIRA
(03005) SUBA - AV. BOYACA
(03006) NIZA - CALLE 127
(03007) HUMEDAL CORDOBA
(03009) Av. Suba- Calle 116
(03010) PUENTE LARGO
(03011) SUBA - CALLE 100
(03012) SUBA - CALLE 95
(03013) RIO NEGRO
(03014) SAN MARTIN
(04000) Cabecera Calle 80
(04001) Quirigua
(04002) Carrera 90
(04003) Avenida Ciudad de Cali
(04004) La Granja
(04100) Carrera 77
(04101) Minuto de Dios
(04102) Avenida Boyaca
(04103) Las Ferias
(04104) Avenida 68
(04105) Carrera 53
(04106) Carrera 47
(04107) Escuela Militar
(04108) Polo – FINCOMERCIO
(05000) Portal Américas
(05002) Tintal
(05005) Transversal 86
(05100) Banderas P. Central
(05101) Mandalay - Cr.73
(05102) Av. Américas - Av. Boyacá
(05103) Marsella
(05105) Pradera – Plaza Central
(05107) Américas - Cr.53
(06000) Portal El Dorado - C.C. NUESTRO BOGOTA
(06001) Modelia
(06002) Normandía
(06100) Av. Rojas – UNISALESIANA
(06101) El Tiempo - Camara de Comercio de Bogota
(06102) Salitre El Greco - Vive Claro
(06103) CAN - British Council
(06104) Gobernación
(06105) Quinta Paredes
(06106) Corferias
(06107) Ciudad Universitaria - Loteria de Bogota
(06108) Concejo de Bogotá
(06109) Centro Memoria
(06111) Universidades – CityU
(07000) Portal Sur JFK Coop. Financiera
(07001) PERDOMO
(07002) MADELENA
(07003) SEVILLANA
(07004) VENECIA
(07005) ALQUERIA
(07006) General Santander
(07007) NQS - Calle 38A Sur
(07008) NQS - Calle 30 Sur
(07010) Bosa
(07101) CASTELLANA
(07102) NQS Calle 75
(07103) AV. CHILE
(07104) 7 de Agosto
(07105) MOVISTAR ARENA
(07106) EL CAMPIN
(07107) U. NACIONAL
(07108) Av. El Dorado
(07109) CAD
(07110) PALOQUEMAO
(07111) NQS - RICAURTE
(07112) COMUNEROS
(07113) SANTA ISABEL
(07200) Tygua-San José
(07201) Guatoque -Veraguas
(07503) SAN MATEO - C.C. UNISUR
(07504) TERREROS
(07505) LEON XIII
(07506) DESPENSA
(08000) Portal Tunal
(08001) Parque el Tunal
(08002) Biblioteca
(09000) Cabecera Usme
(09001) Molinos
(09002) Consuelo
(09003) Socorro
(09004) Santa Lucía
(09005) Danubio
(09100) Calle 40 Sur
(09101) Quiroga
(09103) Olaya
(09104) Restrepo
(09105) Río Fucha
(09106) Nariño
(09107) Hortúa
(09110) Avenida Jimenez
(09114) Calle 26
(09117) Calle 45
(09121) Flores
(09123) Calle 76
(09124) Temporal Calle 34
(09125) Temporal Calle 57
(09126) Temporal Marly
(09128) Temporal Avenida Jimenez
(09129) Temporal Calle 22
(09130) Temporal Avenida 39
(10000) Portal 20 de Julio
(10001) Country Sur
(10002) Av. Primero de Mayo
(10003) Ciudad Jardín
(10004) Policarpa
(10005) Bicentenario
(10006) SAN VICTORINO - NEOS CENTRO
(10007) Las Nieves
(10008) San Diego
(10009) Museo Nacional - FNG
(10010) San Bernardo
(12000) Puente Aranda
(12001) Carrera 43 - COMAPAN
(12002) CDS - Carrera 32
(12003) Ricaurte
(12004) Carrera 22
(12007) Zona Industrial
(14001) La Sabana
(14004) Museo del Oro
(14005) Las Aguas - Centro Colombo Americano
(50003) Corral Molinos
(50008) Corral Portal Dorado
(57503) Ampliacion San Mateo
