station_id,station_name,lineas_id,primera_aparicion,ultima_aparicion,nombres_historicos
07110,PALOQUEMAO,00038,2019-01-01,2025-12-01,PALOQUEMAO
07111,NQS,00038,2019-01-01,2025-12-01,NQS
07112,COMUNEROS,00030,2019-01-01,2025-12-01,COMUNEROS
07113,SANTA ISABEL,00030,2019-01-01,2025-12-01,SANTA ISABEL
07200,Tygua,00038,2019-01-01,2025-12-01,Tygua
07201,Guatoque,00038,2019-01-01,2025-12-01,Guatoque
07503,SAN MATEO,00030,2019-01-01,2025-12-01,SAN MATEO
07504,TERREROS,00030,2019-01-01,2025-12-01,TERREROS
07505,LEON XIII,00030,2019-01-01,2025-12-01,LEON XIII
07506,DESPENSA,00030,2019-01-01,2025-12-01,DESPENSA
08000,Portal Tunal,00034,2019-01-01,2025-12-01,Portal Tunal
08001,Parque el Tunal,00034,2019-01-01,2025-12-01,Parque el Tunal
08002,Biblioteca,00034,2019-01-01,2025-12-01,Biblioteca
08100,Portal Tunal Cable,00034,2019-01-01,2019-01-01,Portal Tunal Cable
09000,Cabecera Usme,00034,2019-01-01,2025-12-01,Cabecera Usme
09001,Molinos,00034,2019-01-01,2025-12-01,Molinos
09002,Consuelo,00034,2019-01-01,2025-12-01,Consuelo
09003,Socorro,00034,2019-01-01,2025-12-01,Socorro
09004,Santa Lucía,00034,2019-01-01,2025-12-01,Santa Lucía
09005,Danubio,00034,2024-12-01,2025-12-01,Danubio
09100,Calle 40 Sur,00034,2019-01-01,2025-12-01,Calle 40 Sur
09101,Quiroga,00034,2019-01-01,2025-12-01,Quiroga
09103,Olaya,00034,2019-01-01,2025-12-01,Olaya
09104,Restrepo,00034,2019-01-01,2025-12-01,Restrepo
09105,Río Fucha,00034,2019-01-01,2025-12-01,Río Fucha
09106,Nariño,00034,2019-01-01,2025-12-01,Nariño
09107,Hortúa,00034,2019-01-01,2025-12-01,Hortúa
09108,Hospital,00034,2019-01-01,2025-01-01,Hospital
09109,Tercer Milenio,00034,2019-01-01,2025-01-01,Tercer Milenio
09110,Avenida Jimenez,"00036, 00037",2019-01-01,2025-12-01,Avenida Jimenez
09111,Calle 19,00036,2019-01-01,2025-01-01,Calle 19
09113,Calle 22,00036,2019-01-01,2025-01-01,Calle 22
09114,Calle 26,00036,2019-01-01,2025-12-01,Calle 26
09115,Calle 34,00036,2019-01-01,2025-01-01,Calle 34
09116,Avenida 39,00036,2019-01-01,2025-01-01,Avenida 39
09117,Calle 45,00036,2019-01-01,2025-12-01,Calle 45
09118,Marly,00036,2019-01-01,2024-01-01,Marly
09119,Calle 57,00036,2019-01-01,2025-01-01,Calle 57
09120,Calle 63,00036,2019-01-01,2024-01-01,Calle 63
09121,Flores,00036,2019-01-01,2025-12-01,Flores | Las Flores
09122,Calle 72,00036,2019-01-01,2024-01-01,Calle 72
09123,Calle 76,00036,2019-01-01,2025-12-01,Calle 76
09124,Temporal Calle 34,00036,2025-12-01,2025-12-01,Temporal Calle 34
10000,Portal 20 de Julio,00012,2019-01-01,2025-12-01,Portal 20 de Julio
10001,Country Sur,00012,2019-01-01,2025-12-01,Country Sur
10002,Av. Primero de Mayo,00012,2019-01-01,2025-12-01,Av. Primero de Mayo
10003,Ciudad Jardín,00012,2019-01-01,2025-12-01,Ciudad Jardín
10004,Policarpa,00012,2019-01-01,2025-12-01,Policarpa
10005,Bicentenario,00012,2019-01-01,2025-12-01,Bicentenario
10006,SAN VICTORINO,00012,2019-01-01,2025-12-01,SAN VICTORINO | San Victorino
10007,Las Nieves,00012,2019-01-01,2025-12-01,Las Nieves
10008,San Diego,00012,2019-01-01,2025-12-01,San Diego
10009,Museo Nacional,00012,2019-01-01,2025-12-01,Museo Nacional
10010,San Bernardo,00012,2019-01-01,2025-12-01,San Bernardo
12000,Puente Aranda,00039,2019-01-01,2025-12-01,Puente Aranda
12001,Carrera 43,00039,2019-01-01,2025-12-01,Carrera 43
12002,CDS,00039,2019-01-01,2025-12-01,CDS
12003,Ricaurte,00039,2019-01-01,2025-12-01,Ricaurte
12004,Carrera 22,00039,2019-01-01,2025-12-01,Carrera 22
12007,Zona Industrial,00039,2019-01-01,2025-12-01,Zona Industrial
14001,La Sabana,00039,2019-01-01,2025-12-01,La Sabana
14004,Museo del Oro,00037,2019-01-01,2025-12-01,Museo del Oro
14005,Las Aguas,00037,2019-01-01,2025-12-01,Las Aguas
40000,Cable Portal Tunal,00040,2019-01-01,2025-12-01,Cable Portal Tunal
40001,Juan Pablo II,00040,2019-01-01,2025-12-01,Juan Pablo II
40002,Manitas,00040,2019-01-01,2025-12-01,Manitas
40003,Mirador del Paraiso,00040,2019-01-01,2025-12-01,Mirador del Paraiso
40004,Bicicletero Mirador del Paraíso,00040,2019-01-01,2025-12-01,Bicicletero Mirador del Paraíso
50002,Corral Calle 40 Sur,00034,2019-01-01,2025-01-01,Corral Calle 40 Sur
50003,Corral Molinos,00034,2019-01-01,2025-12-01,Corral Molinos
50004,Corral Avenida Ciudad de Cali,00035,2019-01-01,2021-01-01,Corral Avenida Ciudad de Cali
50006,Corral Carrera 77,00035,2019-01-01,2022-01-01,Corral Carrera 77
50008,Corral Portal Dorado,00011,2023-12-01,2025-12-01,Corral Portal Dorado
57503,Ampliacion San Mateo,00030,2019-01-01,2025-12-01,Ampliacion San Mateo
59503,Intermedias San Mateo,00021,2025-01-01,2025-01-01,Intermedias San Mateo
